Timestamp,CPU %,Cores Used
1680420577.4242392,15.8,8
1680420579.4297931,16.0,8
1680420581.435317,16.7,8
1680420583.441592,15.9,8
1680420585.447417,15.1,8
1680420587.449708,16.5,8
1680420589.455115,17.5,8
1680420591.460514,18.3,8
1680420593.4654741,17.5,8
1680420595.466211,34.5,8
1680420597.471859,17.4,8
1680420599.477438,17.9,8
1680420601.483279,20.3,8
1680420603.489068,15.2,8
1680420605.494592,15.3,8
1680420607.500152,21.7,8
1680420609.5058079,21.1,8
1680420611.5120609,14.9,8
1680420613.5175638,16.4,8
1680420615.5231118,14.9,8
1680420617.5284271,14.6,8
1680420619.533976,15.1,8
1680420621.5395489,15.7,8
1680420623.5450828,14.9,8
1680420625.550626,15.8,8
1680420627.556182,14.7,8
1680420629.5617259,15.7,8
1680420631.567549,14.7,8
1680420633.573051,14.2,8
1680420635.578611,14.9,8
1680420637.581685,14.8,8
1680420639.5873148,15.2,8
1680420641.591933,15.3,8
1680420643.597743,15.3,8
1680420645.602261,15.3,8
1680420647.6044722,14.6,8
1680420649.6100821,14.5,8
1680420651.6144269,15.2,8
1680420653.616726,14.6,8
1680420655.61843,15.3,8
1680420657.623996,14.7,8
1680420659.624821,15.4,8
1680420661.630646,15.5,8
1680420663.6314518,14.4,8
1680420665.6369548,16.7,8
1680420667.638207,14.9,8
1680420669.6405911,15.0,8
1680420671.6429539,15.3,8
1680420673.648458,17.6,8
1680420675.6503592,14.7,8
1680420677.65592,14.7,8
1680420679.65739,15.4,8
1680420681.6629171,14.6,8
1680420683.6659358,14.4,8
1680420685.666783,16.0,8
1680420687.677634,22.2,8
1680420689.6881862,18.4,8
1680420691.694408,15.2,8
1680420693.695298,15.5,8
1680420695.696754,16.4,8
1680420697.704016,14.7,8
1680420699.706181,15.7,8
1680420701.7078772,15.2,8
1680420703.711424,15.9,8
1680420705.721952,14.9,8
1680420707.724669,14.6,8
1680420709.732506,15.9,8
1680420711.7392352,14.9,8
1680420713.741378,14.1,8
1680420715.7434082,15.4,8
1680420717.7507,14.5,8
1680420719.761227,15.6,8
1680420721.762527,15.9,8
1680420723.764534,14.6,8
1680420725.7659829,15.6,8
1680420727.7706099,14.9,8
1680420729.780786,14.6,8
1680420731.791403,15.0,8
1680420733.80012,14.8,8
1680420735.801294,15.0,8
1680420737.8032482,14.5,8
1680420739.813817,15.2,8
1680420741.819297,15.9,8
1680420743.823809,20.5,8
1680420745.834191,17.1,8
1680420747.838492,24.1,8
1680420749.846126,15.2,8
1680420751.850044,15.8,8
1680420753.854929,14.6,8
1680420755.856698,14.6,8
1680420757.8672462,14.5,8
1680420759.8683279,14.7,8
1680420761.8766131,14.7,8
1680420763.882563,15.7,8
1680420765.893374,14.6,8
1680420767.8996391,16.6,8
1680420769.9101162,27.4,8
1680420771.920663,15.0,8
1680420773.931298,15.4,8
1680420775.941566,14.0,8
1680420777.9521558,14.9,8
1680420779.962732,17.2,8
1680420781.972925,15.4,8
1680420783.983546,16.9,8
1680420785.994671,15.1,8
1680420788.004719,15.1,8
1680420790.0054998,22.9,8
1680420792.011434,17.9,8
1680420794.02195,15.0,8
1680420796.030828,14.7,8
1680420798.041214,14.6,8
1680420800.051738,15.5,8
1680420802.062264,14.9,8
1680420804.072832,14.8,8
1680420806.0833778,14.8,8
1680420808.087564,15.1,8
1680420810.0960598,14.8,8
1680420812.10537,17.7,8
1680420814.1157389,14.6,8
1680420816.1256351,14.6,8
1680420818.1361961,14.6,8
1680420820.143862,14.9,8
1680420822.154423,18.0,8
1680420824.165768,17.8,8
1680420826.1758878,14.3,8
1680420828.179266,15.0,8
1680420830.185645,14.9,8
1680420832.196218,15.3,8
1680420834.199656,15.0,8
1680420836.2011242,15.2,8
1680420838.203298,14.9,8
1680420840.2046878,16.7,8
1680420842.207214,24.2,8
1680420844.2095392,15.5,8
1680420846.218622,14.3,8
1680420848.2265458,14.8,8
1680420850.23713,15.0,8
